log_name,n_fitted_types,model_1,model_2,R,p,preferred_model,interpretation
BPIC13_i,5,lower_bounded_power_law,exponential,0.6937485403516206,0.5224895559362497,lower_bounded_power_law,inconclusive (lower_bounded_power_law numerically favored)
BPIC13_i,5,lower_bounded_power_law,lognormal,-0.004514872825227556,0.9457039803908933,lognormal,inconclusive (lognormal numerically favored)
BPIC13_i,5,lower_bounded_power_law,stretched_exponential,-0.003722762523835854,0.9825138557610994,stretched_exponential,inconclusive (stretched_exponential numerically favored)
BPIC13_i,5,lower_bounded_power_law,truncated_power_law,-0.049135502538389275,0.7539144445739251,truncated_power_law,inconclusive (truncated_power_law numerically favored)
