log_name,xmin,xmax,alpha,KS_D,n_fitted_types,fitted_type_share,fitted_occurrence_share,log_range,gof_p,n_success,n_failed,alpha_at_boundary,fit_valid,gof_kind
ACCRE,12,,1.5102837329380732,0.2223570098251723,14,0.875,0.9948586118251928,1.5250448070368452,0.0056,2500,0,False,True,refit_all_parameters
BPIC11,1,,1.3588899251359376,0.043462774067644,624,1.0,1.0,4.186193249920351,0.0012,2500,0,False,True,refit_all_parameters
BPIC12,5897,,2.839781830334788,0.1247499849076511,19,0.5277777777777778,0.8372234935163997,0.6089825481004595,0.3648,2500,0,False,True,refit_all_parameters
BPIC13_cp,527,,2.422907092542327,0.187676727871128,5,0.7142857142857143,0.998048048048048,0.7647615353058097,0.76756322761943,2491,9,False,True,refit_all_parameters
BPIC13_i,4217,,2.368584677895826,0.1479997088785455,5,0.3846153846153846,0.8824714266094944,0.8555638239868301,0.8568,2500,0,False,True,refit_all_parameters
BPIC14,941,,1.5222358635602666,0.1673266950659535,25,0.6410256410256411,0.9972875516618568,1.973363461724234,0.0156,2500,0,False,True,refit_all_parameters
BPIC17,20423,,2.188597704510282,0.1641151811573383,17,0.6538461538461539,0.951006723132216,1.0110561978575954,0.0884,2500,0,False,True,refit_all_parameters
BPIC18,5057,,1.475567568142355,0.1809524740555138,24,0.5853658536585366,0.9944958091148668,1.9646243498807268,0.004,2500,0,False,True,refit_all_parameters
BPIC19,3096,,1.4194672393985444,0.164267294058568,17,0.4047619047619047,0.9898315896192986,2.00626283637852,0.0392,2500,0,False,True,refit_all_parameters
BPIC20_dd,59,,1.3395540534308563,0.2090619091152084,14,0.8235294117647058,0.9999468433828872,2.291014960496419,0.0232,2500,0,False,True,refit_all_parameters
BPIC20_id,31,,1.3190142272885046,0.1851174257212731,31,0.9117647058823528,0.9995842053471192,2.4170697051317336,0.0004,2500,0,False,True,refit_all_parameters
BPIC20_ptc,7,,1.3145030621056053,0.1846209545151848,29,1.0,1.0,2.512646285166119,0.0008,2500,0,False,True,refit_all_parameters
BPIC20_rfp,41,,1.392102301465171,0.194795528878872,16,0.8421052631578947,0.9999184693988477,2.2625089686512725,0.0268,2500,0,False,True,refit_all_parameters
BPIC20_tpd,17,,1.3037436845403332,0.1683694859521571,45,0.8823529411764706,0.9997574525588756,2.6488763794065333,0.0,2500,0,False,True,refit_all_parameters
CALL,8996,,2.0621515971220488,0.1588252712949716,13,0.6842105263157895,0.9610630948880864,1.14594178678109,0.2608,2500,0,False,True,refit_all_parameters
ITHD,1,,1.2021227780084085,0.189043170483767,14,1.0,1.0,3.7041505168397992,0.0425020048115477,2494,6,False,True,refit_all_parameters
MOBIS,384,,1.5154707982853286,0.3263636545405495,24,0.9230769230769232,0.998378495243586,1.2451655253526517,0.0,2500,0,False,True,refit_all_parameters
RTFMP,555,,1.3099693088489597,0.310123582100653,11,1.0,1.0,2.4328682166033717,0.0,2500,0,False,True,refit_all_parameters
SEPSIS,671,,2.6079858664580025,0.2127206101702147,10,0.625,0.9656894965163664,0.7025794776189884,0.2316,2500,0,False,True,refit_all_parameters
