log_name,n_fitted_types,model_1,model_2,R,p,preferred_model,interpretation
BPIC15_4,198,lower_bounded_power_law,exponential,10.953716845449927,0.45710843922882083,lower_bounded_power_law,inconclusive (lower_bounded_power_law numerically favored)
BPIC15_4,198,lower_bounded_power_law,lognormal,-20.901225184941005,6.831958684907881e-05,lognormal,lognormal favored (distinguishable)
BPIC15_4,198,lower_bounded_power_law,stretched_exponential,-26.119762869109046,3.0419392021674828e-05,stretched_exponential,stretched_exponential favored (distinguishable)
BPIC15_4,198,lower_bounded_power_law,truncated_power_law,-31.328848524852923,2.4424906541753444e-15,truncated_power_law,truncated_power_law favored (distinguishable)
