log_name,n_fitted_types,model_1,model_2,R,p,preferred_model,interpretation
BPIC15_3,14,doubly_bounded_power_law,exponential,0.9851904634093474,0.33307939098239636,doubly_bounded_power_law,inconclusive (doubly_bounded_power_law numerically favored)
BPIC15_3,14,doubly_bounded_power_law,lognormal,-0.027217408309948787,0.27838590855759415,lognormal,inconclusive (lognormal numerically favored)
BPIC15_3,14,doubly_bounded_power_law,stretched_exponential,0.022736840148724013,0.6283698220177278,doubly_bounded_power_law,inconclusive (doubly_bounded_power_law numerically favored)
BPIC15_3,14,doubly_bounded_power_law,truncated_power_law,-0.23304689026149306,0.4947897223768195,truncated_power_law,inconclusive (truncated_power_law numerically favored)
