log_name,n_fitted_types,model_1,model_2,R,p,preferred_model,interpretation
ACCRE,183,lower_bounded_power_law,exponential,117.11444925474645,0.0002995273372175,lower_bounded_power_law,lower_bounded_power_law favored (distinguishable)
ACCRE,183,lower_bounded_power_law,lognormal,-0.6704362812453581,0.1319248159220533,lognormal,inconclusive (lognormal numerically favored)
ACCRE,183,lower_bounded_power_law,stretched_exponential,-0.4524879298838182,0.3743139960612108,stretched_exponential,inconclusive (stretched_exponential numerically favored)
ACCRE,183,lower_bounded_power_law,truncated_power_law,-0.2770041965863301,0.4566844765259916,truncated_power_law,inconclusive (truncated_power_law numerically favored)
BPIC11,11826,lower_bounded_power_law,exponential,8371.679876208904,1.1289635184010525e-60,lower_bounded_power_law,lower_bounded_power_law favored (distinguishable)
BPIC11,11826,lower_bounded_power_law,lognormal,-5.175765872077489,1.0010993783294883e-06,lognormal,lognormal favored (distinguishable)
BPIC11,11826,lower_bounded_power_law,stretched_exponential,41.98607944490702,8.908336416240182e-06,lower_bounded_power_law,lower_bounded_power_law favored (distinguishable)
BPIC11,11826,lower_bounded_power_law,truncated_power_law,-4.447032232133783,0.0028609915532565,truncated_power_law,truncated_power_law favored (distinguishable)
BPIC12,512,lower_bounded_power_law,exponential,295.65643817228306,1.7873589455149725e-13,lower_bounded_power_law,lower_bounded_power_law favored (distinguishable)
BPIC12,512,lower_bounded_power_law,lognormal,-15.843975967123653,0.0003276281026109,lognormal,lognormal favored (distinguishable)
BPIC12,512,lower_bounded_power_law,stretched_exponential,-18.08840917655788,0.0001551549081882,stretched_exponential,stretched_exponential favored (distinguishable)
BPIC12,512,lower_bounded_power_law,truncated_power_law,-22.74755401308004,1.530209292610607e-11,truncated_power_law,truncated_power_law favored (distinguishable)
BPIC13_cp,376,lower_bounded_power_law,exponential,259.72168405350305,0.0005130317847632,lower_bounded_power_law,lower_bounded_power_law favored (distinguishable)
BPIC13_cp,376,lower_bounded_power_law,lognormal,0.3175635332032416,0.1789212173230625,lower_bounded_power_law,inconclusive (lower_bounded_power_law numerically favored)
BPIC13_cp,376,lower_bounded_power_law,stretched_exponential,1.979835529762544,0.2915537843200105,lower_bounded_power_law,inconclusive (lower_bounded_power_law numerically favored)
BPIC13_cp,376,lower_bounded_power_law,truncated_power_law,-0.0050123656973479,0.9202462147744088,truncated_power_law,inconclusive (truncated_power_law numerically favored)
BPIC13_i,4179,lower_bounded_power_law,exponential,4691.388126499761,2.7104090077999752e-46,lower_bounded_power_law,lower_bounded_power_law favored (distinguishable)
BPIC13_i,4179,lower_bounded_power_law,lognormal,-8.516631519535188,0.0010967706238868,lognormal,lognormal favored (distinguishable)
BPIC13_i,4179,lower_bounded_power_law,stretched_exponential,-7.752546324193652,0.0569594435912937,stretched_exponential,stretched_exponential favored (distinguishable)
BPIC13_i,4179,lower_bounded_power_law,truncated_power_law,-10.737215405323008,3.5857819341567065e-06,truncated_power_law,truncated_power_law favored (distinguishable)
BPIC14,35088,lower_bounded_power_law,exponential,16064.058048979836,4.219033767803213e-120,lower_bounded_power_law,lower_bounded_power_law favored (distinguishable)
BPIC14,35088,lower_bounded_power_law,lognormal,-33.54584213121754,2.3094177399270933e-18,lognormal,lognormal favored (distinguishable)
BPIC14,35088,lower_bounded_power_law,stretched_exponential,42.16126882345307,0.0073947845335674,lower_bounded_power_law,lower_bounded_power_law favored (distinguishable)
BPIC14,35088,lower_bounded_power_law,truncated_power_law,-54.48884684688871,0.0,truncated_power_law,truncated_power_law favored (distinguishable)
BPIC17,3490,lower_bounded_power_law,exponential,10242.032592962198,4.065762566510787e-243,lower_bounded_power_law,lower_bounded_power_law favored (distinguishable)
