log_name,xmin,xmax,alpha,KS_D,n_fitted_types,fitted_type_share,fitted_occurrence_share,log_range,gof_p,n_success,n_failed,alpha_at_boundary,fit_valid,gof_kind
ACCRE,3,,1.8298477785311411,0.0631663763389142,77,0.4935897435897436,0.950642673521851,2.0791812460476247,0.254,2500,0,False,True,refit_all_parameters
BPIC11,2,,1.7305809319285417,0.0156159076627588,5292,0.4354122099720257,0.9543419100278792,3.337459261290656,0.0,2500,0,False,True,refit_all_parameters
BPIC12,2087,,2.5528872457756147,0.0952135726403875,40,0.0883002207505518,0.7460793287566743,0.8863582808220829,0.14,2500,0,False,True,refit_all_parameters
BPIC13_cp,25,,1.8511860578101345,0.1018903824125642,44,0.3928571428571428,0.9363363363363364,1.6797911709803544,0.08,2500,0,False,True,refit_all_parameters
BPIC13_i,5,,1.443272737897924,0.0689079322202504,213,0.5447570332480819,0.9951780019226956,3.200248413515354,0.0008,2500,0,False,True,refit_all_parameters
BPIC14,57,,1.7792653215678953,0.0358070498374962,851,0.1237458193979933,0.903091034136998,2.412681551191233,0.0004,2500,0,False,True,refit_all_parameters
BPIC17,4,,1.2819566954033432,0.0733097496134935,405,0.7043478260869566,0.999788732452941,4.229605059841376,0.0,2495,5,False,True,refit_all_parameters
BPIC18,1,,1.3419846651077478,0.0282630921913863,3271,1.0,1.0,5.323858245041572,0.0,2497,3,False,True,refit_all_parameters
BPIC19,185,,1.6289520535144413,0.0299723874567644,307,0.1101542877646214,0.9718006445173106,2.8461263845497986,0.3536,2500,0,False,True,refit_all_parameters
BPIC20_dd,1,,1.2794933694738058,0.1171363174983385,87,1.0,1.0,4.001560652642573,0.0008003201280512,2499,1,False,True,refit_all_parameters
BPIC20_id,22,,1.557095748607412,0.0630322094036276,154,0.3086172344689378,0.9780460423278956,2.427471354989963,0.0196,2500,0,False,True,refit_all_parameters
BPIC20_ptc,1,,1.479457418631382,0.0355504640026179,343,1.0,1.0,3.2907022432878543,0.1528,2500,0,False,True,refit_all_parameters
BPIC20_rfp,1,,1.301036622569487,0.1251135006100771,96,1.0,1.0,3.7993405494535817,0.0,2500,0,False,True,refit_all_parameters
BPIC20_tpd,1,,1.5496413437547272,0.0151942456457419,1567,1.0,1.0,3.730216840568694,0.232,2500,0,False,True,refit_all_parameters
CALL,39,,1.5229459824527725,0.0489269029919114,332,0.3007246376811594,0.9884888243518932,2.948124443849364,0.006,2500,0,False,True,refit_all_parameters
ITHD,1,,1.4353418316428332,0.054962670975857,165,1.0,1.0,3.6572471298837166,0.1028,2500,0,False,True,refit_all_parameters
MOBIS,1,,1.3250731880643327,0.0806707320098559,331,1.0,1.0,3.647187297895989,0.0,2500,0,False,True,refit_all_parameters
RTFMP,2,,1.3173688217289454,0.0487624064793601,170,0.8018867924528302,0.999925196359556,4.713456940673569,0.1896,2500,0,False,True,refit_all_parameters
SEPSIS,25,,1.915687773613334,0.0649637596769283,114,0.2420382165605095,0.8683449454449849,1.5672616923538745,0.0572,2500,0,False,True,refit_all_parameters
