log_name,xmin,xmax,alpha,KS_D,n_fitted_types,fitted_type_share,fitted_occurrence_share,log_range,gof_p,n_success,n_failed,alpha_at_boundary,fit_valid,gof_kind
ACCRE,3,,1.9173833843546813,0.0674968083883549,79,0.4293478260869565,0.918222794591114,1.7429868333203926,0.0976,2500,0,False,True,refit_all_parameters
BPIC11,2,,1.8553147850637104,0.0083909692891241,8248,0.3558239861949956,0.8998873632267753,3.082964793777752,0.0396,2500,0,False,True,refit_all_parameters
BPIC12,17,,1.4602670299466034,0.0863706679405893,384,0.5106382978723404,0.9938863086229944,2.8581478068844723,0.0,2500,0,False,True,refit_all_parameters
BPIC13_cp,9,,1.9788233304730556,0.0462129922377803,100,0.3278688524590163,0.8799768071124855,1.7314992291629387,0.5488,2500,0,False,True,refit_all_parameters
BPIC13_i,1,,1.4745037705716246,0.0400819384250979,1090,1.0,1.0,3.5720579899263045,0.0,2500,0,False,True,refit_all_parameters
BPIC14,1,,1.6668180869633842,0.0185715424620175,27587,1.0,1.0,3.878751520173002,0.0,2500,0,False,True,refit_all_parameters
BPIC17,1,,1.3081385706094166,0.052154989411113,1194,1.0,1.0,4.66935407764394,0.0,2495,5,False,True,refit_all_parameters
BPIC18,1,,1.4401791291681505,0.020269384640208,10679,1.0,1.0,5.221064574832487,0.0,2500,0,False,True,refit_all_parameters
BPIC19,80,,1.7096189046537715,0.0157230335990218,661,0.0784011386549638,0.9551789723122972,3.1344161906997345,0.7784,2500,0,False,True,refit_all_parameters
BPIC20_dd,1,,1.3235318166492689,0.0811814950095739,127,1.0,1.0,4.001517376823505,0.0092,2500,0,False,True,refit_all_parameters
BPIC20_id,21,,1.652236511734137,0.0461945591515523,211,0.2354910714285714,0.9581139082524124,2.4097721542850103,0.1032,2500,0,False,True,refit_all_parameters
BPIC20_ptc,1,,1.5508292101091996,0.0265876808476329,504,1.0,1.0,3.2725377773752373,0.2248,2500,0,False,True,refit_all_parameters
BPIC20_rfp,9,,1.4709232288377485,0.0876043776205661,66,0.4680851063829787,0.9949636448535788,2.842331823771105,0.0344,2500,0,False,True,refit_all_parameters
BPIC20_tpd,2,,1.6211493383483255,0.0190142852648144,1459,0.4988034188034188,0.9815634589265052,3.4097641042663462,0.0856,2500,0,False,True,refit_all_parameters
CALL,1,,1.4866205444766507,0.0193733648574309,2210,1.0,1.0,4.400261610744863,0.01,2500,0,False,True,refit_all_parameters
ITHD,1,,1.5299673759500116,0.0378915822423363,304,1.0,1.0,3.514282047860378,0.1336,2500,0,False,True,refit_all_parameters
MOBIS,1,,1.3751516994559787,0.0705198829224669,494,1.0,1.0,3.629307640073749,0.0,2500,0,False,True,refit_all_parameters
RTFMP,2,,1.3921034723876602,0.0288568953046518,257,0.7385057471264368,0.999778642666018,4.5998503350748985,0.6416,2500,0,False,True,refit_all_parameters
SEPSIS,67,,3.0609219603585625,0.0624101533478279,50,0.046382189239332,0.4480372776051963,1.0813365580737595,0.4044,2500,0,False,True,refit_all_parameters
