log_name,n_fitted_types,model_1,model_2,R,p,preferred_model,interpretation
BPIC12,384,lower_bounded_power_law,exponential,265.19560655689025,2.6672682421407997e-13,lower_bounded_power_law,lower_bounded_power_law favored (distinguishable)
BPIC12,384,lower_bounded_power_law,lognormal,-19.82667730465154,3.951712616173393e-05,lognormal,lognormal favored (distinguishable)
BPIC12,384,lower_bounded_power_law,stretched_exponential,-22.14730392397197,1.544450503774875e-05,stretched_exponential,stretched_exponential favored (distinguishable)
BPIC12,384,lower_bounded_power_law,truncated_power_law,-26.150431238879563,4.761746552617296e-13,truncated_power_law,truncated_power_law favored (distinguishable)
