log_name,n_fitted_types,model_1,model_2,R,p,preferred_model,interpretation
ACCRE,79,lower_bounded_power_law,exponential,49.63631094932869,1.3394031061419543e-06,lower_bounded_power_law,lower_bounded_power_law favored (distinguishable)
ACCRE,79,lower_bounded_power_law,lognormal,-5.281520664922395,0.3079007131752301,lognormal,inconclusive (lognormal numerically favored)
ACCRE,79,lower_bounded_power_law,stretched_exponential,0.4106934732672336,0.5011805838456953,lower_bounded_power_law,inconclusive (lower_bounded_power_law numerically favored)
ACCRE,79,lower_bounded_power_law,truncated_power_law,-0.3004972029521022,0.4381988665203178,truncated_power_law,inconclusive (truncated_power_law numerically favored)
BPIC11,8248,lower_bounded_power_law,exponential,7476.525873746834,1.6962261454097368e-74,lower_bounded_power_law,lower_bounded_power_law favored (distinguishable)
BPIC11,8248,lower_bounded_power_law,lognormal,-9.5377596654876,0.0017855187346512,lognormal,lognormal favored (distinguishable)
BPIC11,8248,lower_bounded_power_law,stretched_exponential,5.590075204118833,0.507060795947381,lower_bounded_power_law,inconclusive (lower_bounded_power_law numerically favored)
BPIC11,8248,lower_bounded_power_law,truncated_power_law,-16.37531150359814,1.0477271716879956e-08,truncated_power_law,truncated_power_law favored (distinguishable)
BPIC12,384,lower_bounded_power_law,exponential,265.19560655689025,2.6672682421408e-13,lower_bounded_power_law,lower_bounded_power_law favored (distinguishable)
BPIC12,384,lower_bounded_power_law,lognormal,-19.82667730465154,3.951712616173393e-05,lognormal,lognormal favored (distinguishable)
BPIC12,384,lower_bounded_power_law,stretched_exponential,-22.14730392397197,1.544450503774875e-05,stretched_exponential,stretched_exponential favored (distinguishable)
BPIC12,384,lower_bounded_power_law,truncated_power_law,-26.150431238879563,4.761746552617296e-13,truncated_power_law,truncated_power_law favored (distinguishable)
BPIC13_cp,100,lower_bounded_power_law,exponential,42.64494987257631,1.4674110761337451e-05,lower_bounded_power_law,lower_bounded_power_law favored (distinguishable)
BPIC13_cp,100,lower_bounded_power_law,lognormal,-0.1429887758180443,0.6694849356997057,lognormal,inconclusive (lognormal numerically favored)
BPIC13_cp,100,lower_bounded_power_law,stretched_exponential,-0.0383476663690069,0.9580738823276884,stretched_exponential,inconclusive (stretched_exponential numerically favored)
BPIC13_cp,100,lower_bounded_power_law,truncated_power_law,-0.6935978384199384,0.238879254083094,truncated_power_law,inconclusive (truncated_power_law numerically favored)
BPIC13_i,1090,lower_bounded_power_law,exponential,1735.0969737321946,3.124033582371407e-34,lower_bounded_power_law,lower_bounded_power_law favored (distinguishable)
