log_name,xmin,xmax,alpha,KS_D,n_fitted_types,fitted_type_share,fitted_occurrence_share,log_range,gof_p,n_success,n_failed,alpha_at_boundary,fit_valid,gof_kind
ACCRE,2,,1.911530336729779,0.0349366355491959,34,0.3238095238095238,0.8397291196388262,1.866287339084195,0.6612,2500,0,False,True,refit_all_parameters
BPIC11,2,,2.311027849420366,0.0190843714012127,11187,0.1287164027982326,0.4716663875865148,2.5446880223026773,0.0,2500,0,False,True,refit_all_parameters
BPIC12,5,,1.582341162439712,0.0489905524649685,1826,0.4612275827229098,0.9807016446099136,3.071513805095089,0.0,2500,0,False,True,refit_all_parameters
BPIC13_cp,3,,1.9351532967010996,0.091003505667115,52,0.0636474908200734,0.5951795376291196,2.2086204838826013,0.064,2500,0,False,True,refit_all_parameters
BPIC13_i,3,,2.2185669156088568,0.0125509272232645,1468,0.1189145402997164,0.5681120558868151,2.765668554759014,0.3676,2500,0,False,True,refit_all_parameters
BPIC14,5,,1.9476429567743008,0.0563504642339819,688,0.0036741538231493,0.104920211538639,2.549738731264899,0.0,2500,0,False,True,refit_all_parameters
BPIC17,2,,1.5266366007461565,0.0236859770827884,7360,0.5578715985750019,0.9940582904826708,4.068185861746161,0.0,2500,0,False,True,refit_all_parameters
BPIC18,4,,1.9671309674603497,0.0031149036085904,38620,0.1271540796639076,0.8492514279061951,4.344662395505526,0.2456,2500,0,False,True,refit_all_parameters
BPIC19,16,,1.7587676443730038,0.0166962648690406,1247,0.0253687315634218,0.8524018597535653,3.515128415792021,0.2764,2500,0,False,True,refit_all_parameters
BPIC20_dd,2,,1.55593735068102,0.0611458111848974,108,0.4576271186440678,0.988849202892238,3.3634239329171765,0.1392,2500,0,False,True,refit_all_parameters
BPIC20_id,1,,1.8194102047494256,0.0169741006203328,2944,1.0,1.0,3.144262773761991,0.0008,2500,0,False,True,refit_all_parameters
BPIC20_ptc,1,,1.92798301607288,0.0302404691477145,650,1.0,1.0,2.755112266395072,0.01,2500,0,False,True,refit_all_parameters
BPIC20_rfp,1,,1.6289670483383472,0.0504349940488403,183,1.0,1.0,3.4787107555127594,0.0856,2500,0,False,True,refit_all_parameters
BPIC20_tpd,3,,1.919250250283848,0.025333658429786,1540,0.1597510373443983,0.7649279605516603,2.513661437083476,0.0004,2500,0,False,True,refit_all_parameters
CALL,3,,1.4856767519757763,0.0289722926993376,672,0.3945977686435701,0.9951859318824692,3.923140356025201,0.0636,2500,0,False,True,refit_all_parameters
ITHD,2,,1.7530546021026667,0.0569135416748376,108,0.3483870967741935,0.956975505857295,3.0729847446279304,0.1524,2500,0,False,True,refit_all_parameters
MOBIS,1,,1.5559834309824807,0.0382607778911409,1979,1.0,1.0,2.92272545799326,0.0,2500,0,False,True,refit_all_parameters
RTFMP,1,,1.5719524697664602,0.0192043276746126,353,1.0,1.0,4.751910066471252,0.8064,2500,0,False,True,refit_all_parameters
SEPSIS,2,,2.8155502384415967,0.0102396398755826,878,0.142880390561432,0.3667187687868222,1.4771212547196624,0.8088,2500,0,False,True,refit_all_parameters
