log_name,n_fitted_types,model_1,model_2,R,p,preferred_model,interpretation
BPIC20_tpd,1478,full_range_power_law,stretched_exponential,2.98546653625602,0.1831116974762369,full_range_power_law,inconclusive (full_range_power_law numerically favored)
BPIC20_tpd,1478,full_range_power_law,truncated_power_law,3.821186388419662e-06,0.9977942635643728,full_range_power_law,inconclusive (full_range_power_law numerically favored)
CALL,1690,full_range_power_law,exponential,5344.475078269124,5.583939707136862e-70,full_range_power_law,full_range_power_law favored (distinguishable)
CALL,1690,full_range_power_law,lognormal,-10.930780159222795,8.763147087760495e-06,lognormal,lognormal favored (distinguishable)
CALL,1690,full_range_power_law,stretched_exponential,13.507022475193397,0.0003082254618857,full_range_power_law,full_range_power_law favored (distinguishable)
CALL,1690,full_range_power_law,truncated_power_law,-1.3490232660014048,0.100471281167817,truncated_power_law,inconclusive (truncated_power_law numerically favored)
ITHD,226,full_range_power_law,exponential,441.31188623228974,5.908216013379597e-05,full_range_power_law,full_range_power_law favored (distinguishable)
ITHD,226,full_range_power_law,lognormal,-10.117868190065154,0.2270004476991958,lognormal,inconclusive (lognormal numerically favored)
ITHD,226,full_range_power_law,stretched_exponential,1.3130102243069914,0.2764213635850213,full_range_power_law,inconclusive (full_range_power_law numerically favored)
ITHD,226,full_range_power_law,truncated_power_law,-0.0119235432770643,0.877274627799089,truncated_power_law,inconclusive (truncated_power_law numerically favored)
MOBIS,1109,full_range_power_law,exponential,1086.051448295552,5.162083530856431e-17,full_range_power_law,full_range_power_law favored (distinguishable)
MOBIS,1109,full_range_power_law,lognormal,-7.403831851641693,0.0004270468572539,lognormal,lognormal favored (distinguishable)
MOBIS,1109,full_range_power_law,stretched_exponential,1.632091449067361,0.381699396890477,full_range_power_law,inconclusive (full_range_power_law numerically favored)
MOBIS,1109,full_range_power_law,truncated_power_law,-0.1999656678367838,0.5271247201072581,truncated_power_law,inconclusive (truncated_power_law numerically favored)
RTFMP,231,full_range_power_law,exponential,1011.877115658996,1.5993005557278302e-24,full_range_power_law,full_range_power_law favored (distinguishable)
RTFMP,231,full_range_power_law,lognormal,-1.034420561504417,0.2648184351356527,lognormal,inconclusive (lognormal numerically favored)
RTFMP,231,full_range_power_law,stretched_exponential,4.357959898657006,0.027369453193823,full_range_power_law,full_range_power_law favored (distinguishable)
RTFMP,231,full_range_power_law,truncated_power_law,-0.0981522202394595,0.6577204781297769,truncated_power_law,inconclusive (truncated_power_law numerically favored)
SEPSIS,846,full_range_power_law,exponential,,,,
SEPSIS,846,full_range_power_law,lognormal,,,,
SEPSIS,846,full_range_power_law,stretched_exponential,,,,
SEPSIS,846,full_range_power_law,truncated_power_law,,,,
