log_name,input_path,n_occurrences,n_types,n_singletons,singleton_share,xmin,xmax,n_fitted_types,fitted_type_share,fitted_occurrence_share,log_range,fit_valid,classification,best_other_distribution,alpha,KS_D,gof_p,n_success,n_failed,gof_kind
ACCRE,results/attachments/n7/ACCRE/attachments.csv.gz,659,163,110,0.6748466257668712,1.0,,163,1.0,1.0,2.167317334748176,True,(1) >= 30 fitted types; (2) lower bounded power law not plausible (p<0.1); (3) alternatives inconclusive,lognormal,2.0533105335622728,0.0489217455221303,0.042,2500,0,refit_all_parameters
BPIC11,results/attachments/n7/BPIC11/attachments.csv.gz,146056,60225,47904,0.7954171855541718,2.0,,12321,0.2045828144458281,0.6720162129594128,2.787814567063023,True,(1) >= 30 fitted types; (2) lower bounded power law not plausible (p<0.1); (3) alternative preferred,lognormal,2.1394224522033056,0.0120897900913636,0.0,2500,0,refit_all_parameters
BPIC12,results/attachments/n7/BPIC12/attachments.csv.gz,216710,1935,462,0.2387596899224806,23.0,,591,0.3054263565891473,0.9691707812283696,2.5841836808016807,True,(1) >= 30 fitted types; (2) lower bounded power law not plausible (p<0.1); (3) alternative preferred,stretched_exponential,1.6027330660663333,0.065871609958549,0.0,2500,0,refit_all_parameters
BPIC13_cp,results/attachments/n7/BPIC13_cp/attachments.csv.gz,2885,1068,779,0.7294007490636704,2.0,,289,0.2705992509363296,0.7299826689774697,2.3847117429382827,True,(1) >= 30 fitted types; (2) lower bounded power law plausible (p>=0.1); (3) alternatives inconclusive,lognormal,2.374504540441313,0.0306982156633227,0.1308,2500,0,refit_all_parameters
BPIC13_i,results/attachments/n7/BPIC13_i/attachments.csv.gz,39747,6365,3699,0.58114689709348,1.0,,6365,1.0,1.0,3.2427898094786767,True,(1) >= 30 fitted types; (2) lower bounded power law not plausible (p<0.1); (3) alternative preferred,lognormal,1.9042531670431224,0.0080121477316074,0.0616,2500,0,refit_all_parameters
BPIC14,results/attachments/n7/BPIC14/attachments.csv.gz,292230,165829,132715,0.8003123699714766,2.0,,33114,0.1996876300285233,0.5458542928515211,2.9476787399369364,True,(1) >= 30 fitted types; (2) lower bounded power law not plausible (p<0.1); (3) alternative preferred,lognormal,2.404758060171173,0.0081896748400203,0.0,2500,0,refit_all_parameters
BPIC17,results/attachments/n7/BPIC17/attachments.csv.gz,1076231,5193,1921,0.3699210475640285,1.0,,5193,1.0,1.0,4.448721774949721,True,(1) >= 30 fitted types; (2) lower bounded power law not plausible (p<0.1); (3) alternative preferred,lognormal,1.4511463914289255,0.0176160269994204,0.0,2500,0,refit_all_parameters
BPIC18,results/attachments/n7/BPIC18/attachments.csv.gz,2339030,100648,52116,0.5178046260233685,34.0,,5222,0.0518837930212224,0.8569462554990744,3.5299848716498112,True,(1) >= 30 fitted types; (2) lower bounded power law not plausible (p<0.1); (3) alternatives inconclusive,lognormal,1.9281418224109097,0.0107547222500948,0.0512,2500,0,refit_all_parameters
BPIC19,results/attachments/n7/BPIC19/attachments.csv.gz,693322,38949,24021,0.616729569436956,2.0,,14928,0.383270430563044,0.9653537605903172,4.5778879989438455,True,(1) >= 30 fitted types; (2) lower bounded power law plausible (p>=0.1); (3) alternatives inconclusive,lognormal,1.8574234164599797,0.0045273755714415,0.302,2500,0,refit_all_parameters
BPIC20_dd,results/attachments/n7/BPIC20_dd/attachments.csv.gz,16884,234,90,0.3846153846153846,1.0,,234,1.0,1.0,3.6644539285811577,True,(1) >= 30 fitted types; (2) lower bounded power law plausible (p>=0.1); (3) alternatives inconclusive,lognormal,1.5051035888361093,0.0318515142798866,0.492,2500,0,refit_all_parameters
