log_name,xmin,xmax,alpha,KS_D,n_fitted_types,fitted_type_share,fitted_occurrence_share,log_range,gof_p,n_success,n_failed,alpha_at_boundary,fit_valid,gof_kind
ACCRE,1,,1.8308228245228413,0.0252751781219852,195,1.0,1.0,2.167317334748176,0.6008,2500,0,False,True,refit_all_parameters
BPIC11,2,,1.9713462626471956,0.0080085401379965,10542,0.2931753712664776,0.8283537738397536,3.082426300860772,0.018,2500,0,False,True,refit_all_parameters
BPIC12,1731,,2.703368058666369,0.0765940530871372,39,0.0358455882352941,0.6082719700371992,0.8282152099812017,0.2528,2500,0,False,True,refit_all_parameters
BPIC13_cp,2,,1.9228356860083855,0.0496941057405296,370,0.5736434108527132,0.93422626165989,2.3847117429382827,0.004,2500,0,False,True,refit_all_parameters
BPIC13_i,1,,1.6107760548425056,0.0179175515982104,2368,1.0,1.0,3.438858659420562,0.0092,2500,0,False,True,refit_all_parameters
BPIC14,1,,1.9353828646567768,0.0080223941894187,68586,1.0,1.0,3.2487087356009177,0.0,2500,0,False,True,refit_all_parameters
BPIC17,1,,1.3644023462260368,0.0282055816593734,2166,1.0,1.0,4.490127104735399,0.0,2499,1,False,True,refit_all_parameters
BPIC18,1,,1.5299492666767176,0.0177672371131683,26526,1.0,1.0,5.203867475596343,0.0,2500,0,False,True,refit_all_parameters
BPIC19,1,,1.6389026628239138,0.0126290568373882,17591,1.0,1.0,4.984761274282867,0.0,2500,0,False,True,refit_all_parameters
BPIC20_dd,1,,1.3777151507022063,0.047172810330437,168,1.0,1.0,3.709948016510761,0.28,2500,0,False,True,refit_all_parameters
BPIC20_id,1,,1.50860244628769,0.0354980495126822,1378,1.0,1.0,3.4625477288026643,0.0,2500,0,False,True,refit_all_parameters
BPIC20_ptc,1,,1.6196509869083773,0.0235527979542885,641,1.0,1.0,2.9556877503135057,0.1844,2500,0,False,True,refit_all_parameters
BPIC20_rfp,1,,1.4171967356650614,0.0582974371707772,177,1.0,1.0,3.519434194913703,0.0564,2500,0,False,True,refit_all_parameters
BPIC20_tpd,2,,1.6994911017415042,0.018125161795972,1977,0.4431741761936785,0.9657147589405252,3.1230345297535065,0.0432,2500,0,False,True,refit_all_parameters
CALL,1,,1.6152973824121704,0.0252460009266817,2569,1.0,1.0,4.400261610744863,0.0,2500,0,False,True,refit_all_parameters
ITHD,1,,1.6416017967303709,0.0278814746268286,448,1.0,1.0,3.427972713608209,0.1868,2500,0,False,True,refit_all_parameters
MOBIS,1,,1.4102719105960115,0.0647267824114433,685,1.0,1.0,3.622214022966295,0.0,2500,0,False,True,refit_all_parameters
RTFMP,2,,1.447499432946799,0.0213018346687988,311,0.6850220264317181,0.9995633401122492,4.5569112925155055,0.7976,2500,0,False,True,refit_all_parameters
SEPSIS,13,,2.340541419181683,0.0389155300205857,253,0.1266266266266266,0.6515174622540796,1.3043579390129088,0.202,2500,0,False,True,refit_all_parameters
