log_name,n_fitted_types,model_1,model_2,R,p,preferred_model,interpretation
ACCRE,140,lower_bounded_power_law,exponential,100.74309060519636,0.004304830845127532,lower_bounded_power_law,lower_bounded_power_law favored (distinguishable)
ACCRE,140,lower_bounded_power_law,lognormal,-1.0053239625160073,0.16834360048831998,lognormal,inconclusive (lognormal numerically favored)
ACCRE,140,lower_bounded_power_law,stretched_exponential,-0.015792898650969556,0.9776807604060851,stretched_exponential,inconclusive (stretched_exponential numerically favored)
ACCRE,140,lower_bounded_power_law,truncated_power_law,-0.01590538516367168,0.8584436055515858,truncated_power_law,inconclusive (truncated_power_law numerically favored)
